date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:47:48	7820/7820	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Sep%202020%2002:49:10%20GMT	https://bslthemes.com/ryan/demo/images/man1.jpg	bslthemes.com/ryan/demo/images/man1.jpg	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
22:47:50	42535/42535	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Sep%202020%2002:49:32%20GMT	https://bslthemes.com/ryan/demo/images/works/work1.jpg	bslthemes.com/ryan/demo/images/works/work1.jpg	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
22:47:50	57405/57405	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Sep%202020%2002:49:32%20GMT	https://bslthemes.com/ryan/demo/images/works/work2.jpg	bslthemes.com/ryan/demo/images/works/work2.jpg	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
22:47:52	69913/69913	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Sep%202020%2002:49:32%20GMT	https://bslthemes.com/ryan/demo/images/works/work3.jpg	bslthemes.com/ryan/demo/images/works/work3.jpg	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
22:47:53	55522/55522	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Sep%202020%2002:49:30%20GMT	https://bslthemes.com/ryan/demo/images/works/work4.jpg	bslthemes.com/ryan/demo/images/works/work4.jpg	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
22:47:54	71593/71593	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Sep%202020%2002:49:30%20GMT	https://bslthemes.com/ryan/demo/images/works/work5.jpg	bslthemes.com/ryan/demo/images/works/work5.jpg	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
22:47:55	48621/48621	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Sep%202020%2002:49:31%20GMT	https://bslthemes.com/ryan/demo/images/works/work6.jpg	bslthemes.com/ryan/demo/images/works/work6.jpg	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
22:47:56	50683/50683	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Sep%202020%2002:49:33%20GMT	https://bslthemes.com/ryan/demo/images/works/work8.jpg	bslthemes.com/ryan/demo/images/works/work8.jpg	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
22:47:57	71427/71427	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Sep%202020%2002:49:31%20GMT	https://bslthemes.com/ryan/demo/images/works/work7.jpg	bslthemes.com/ryan/demo/images/works/work7.jpg	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
22:47:57	20062/20062	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20Sep%202020%2002:48:52%20GMT	https://bslthemes.com/ryan/demo/blog-post-new.html	bslthemes.com/ryan/demo/blog-post-new.html	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
22:47:59	112566/112566	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Sep%202020%2002:49:27%20GMT	https://bslthemes.com/ryan/demo/images/blog/blog1.jpg	bslthemes.com/ryan/demo/images/blog/blog1.jpg	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
22:48:00	96761/96761	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Sep%202020%2002:49:28%20GMT	https://bslthemes.com/ryan/demo/images/blog/blog2.jpg	bslthemes.com/ryan/demo/images/blog/blog2.jpg	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
22:48:01	84857/84857	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Sep%202020%2002:49:28%20GMT	https://bslthemes.com/ryan/demo/images/blog/blog3.jpg	bslthemes.com/ryan/demo/images/blog/blog3.jpg	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
22:48:02	86659/86659	---M--	200	added ('OK')	application/javascript	date:Sun,%2027%20Sep%202020%2002:49:03%20GMT	https://bslthemes.com/ryan/demo/js/jquery.min.js	bslthemes.com/ryan/demo/js/jquery.min.js	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
22:48:03	48696/48696	---M--	200	added ('OK')	application/javascript	date:Sun,%2027%20Sep%202020%2002:49:02%20GMT	https://bslthemes.com/ryan/demo/js/jquery.validate.js	bslthemes.com/ryan/demo/js/jquery.validate.js	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
22:48:04	41730/41730	---M--	200	added ('OK')	application/javascript	date:Sun,%2027%20Sep%202020%2002:49:01%20GMT	https://bslthemes.com/ryan/demo/js/jquery.magnific-popup.js	bslthemes.com/ryan/demo/js/jquery.magnific-popup.js	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
22:48:04	12283/12283	---M--	200	added ('OK')	application/javascript	date:Sun,%2027%20Sep%202020%2002:49:04%20GMT	https://bslthemes.com/ryan/demo/js/imagesloaded.pkgd.js	bslthemes.com/ryan/demo/js/imagesloaded.pkgd.js	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
22:48:06	13832/13832	---M--	200	added ('OK')	application/javascript	date:Sun,%2027%20Sep%202020%2002:49:01%20GMT	https://bslthemes.com/ryan/demo/js/jquery.slimscroll.js	bslthemes.com/ryan/demo/js/jquery.slimscroll.js	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
22:48:06	91398/91398	---M--	200	added ('OK')	application/javascript	date:Sun,%2027%20Sep%202020%2002:49:02%20GMT	https://bslthemes.com/ryan/demo/js/isotope.pkgd.js	bslthemes.com/ryan/demo/js/isotope.pkgd.js	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
22:48:08	89992/89992	---M--	200	added ('OK')	application/javascript	date:Sun,%2027%20Sep%202020%2002:49:02%20GMT	https://bslthemes.com/ryan/demo/js/owl.carousel.js	bslthemes.com/ryan/demo/js/owl.carousel.js	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
22:48:08	15615/15615	---M--	200	added ('OK')	application/javascript	date:Sun,%2027%20Sep%202020%2002:49:01%20GMT	https://bslthemes.com/ryan/demo/js/typed.js	bslthemes.com/ryan/demo/js/typed.js	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
22:48:09	12894/12894	---M--	200	added ('OK')	application/javascript	date:Sun,%2027%20Sep%202020%2002:57:59%20GMT	https://bslthemes.com/ryan/demo/js/scripts.js	bslthemes.com/ryan/demo/js/scripts.js	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
22:48:10	1343/1343	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2027%20Sep%202020%2002:49:19%20GMT	https://bslthemes.com/ryan/demo/images/quote.svg	bslthemes.com/ryan/demo/images/quote.svg	(from https://bslthemes.com/ryan/demo/css/layout.css)
22:48:11	4232/4232	---M--	200	added ('OK')	image/png	date:Sun,%2027%20Sep%202020%2002:49:09%20GMT	https://bslthemes.com/ryan/demo/images/android-search.png	bslthemes.com/ryan/demo/images/android-search.png	(from https://bslthemes.com/ryan/demo/css/layout.css)
22:48:13	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2027%20Sep%202020%2002:48:54%20GMT	https://bslthemes.com/ryan/demo/fonts/ionicons.eot?v=2.0.1	bslthemes.com/ryan/demo/fonts/ionicons790f.eot	(from https://bslthemes.com/ryan/demo/css/ionicons.css)
22:48:16	67904/67904	---M--	200	added ('OK')	font/woff	date:Sun,%2027%20Sep%202020%2002:48:54%20GMT	https://bslthemes.com/ryan/demo/fonts/ionicons.woff?v=2.0.1	bslthemes.com/ryan/demo/fonts/ionicons790f.woff	(from https://bslthemes.com/ryan/demo/css/ionicons.css)
22:48:16	188508/188508	---M--	200	added ('OK')	font/ttf	date:Sun,%2027%20Sep%202020%2002:48:56%20GMT	https://bslthemes.com/ryan/demo/fonts/ionicons.ttf?v=2.0.1	bslthemes.com/ryan/demo/fonts/ionicons790f.ttf	(from https://bslthemes.com/ryan/demo/css/ionicons.css)
22:48:19	333834/333834	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2027%20Sep%202020%2002:48:56%20GMT	https://bslthemes.com/ryan/demo/fonts/ionicons.svg?v=2.0.1	bslthemes.com/ryan/demo/fonts/ionicons790f.svg	(from https://bslthemes.com/ryan/demo/css/ionicons.css)
22:48:19	11074/11074	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Feb%202021%2019:49:53%20GMT	https://bslthemes.com/ryan/demo/css/owl.video.play.png	bslthemes.com/ryan/demo/css/owl.video.play.png	(from https://bslthemes.com/ryan/demo/css/owl.carousel.css)
22:48:20	194/194	---M--	200	added ('OK')	image/png	date:Sun,%2027%20Sep%202020%2002:49:07%20GMT	https://bslthemes.com/ryan/demo/images/pag.png	bslthemes.com/ryan/demo/images/pag.png	(from https://bslthemes.com/ryan/demo/css/new-skin/new-skin.css)
